"Date","Price","Open","High","Low","Vol.","Change %"
"04/14/2023","4,086.02","4,078.97","4,098.22","4,075.20","114.32K","0.42%"
"04/13/2023","4,068.98","4,081.39","4,088.88","4,059.57","156.44K","-0.69%"
"04/12/2023","4,097.29","4,102.40","4,108.25","4,090.28","165.97K","-0.07%"
"04/11/2023","4,100.15","4,108.51","4,116.12","4,083.49","153.90K","-0.11%"
"04/10/2023","4,104.81","4,132.01","4,132.30","4,099.05","152.45K","-0.45%"
"04/07/2023","4,123.28","4,096.90","4,131.31","4,092.18","128.68K","0.65%"
"04/06/2023","4,096.64","4,084.13","4,098.83","4,078.40","150.70K","-0.16%"
"04/04/2023","4,103.10","4,089.29","4,103.16","4,080.07","197.15K","0.31%"
"04/03/2023","4,090.57","4,059.62","4,094.94","4,059.06","182.12K","0.98%"
"03/31/2023","4,050.93","4,045.45","4,063.57","4,039.96","138.84K","0.31%"
"03/30/2023","4,038.53","4,009.56","4,040.50","3,983.90","149.90K","0.81%"
"03/29/2023","4,006.14","4,013.59","4,017.76","3,992.67","133.74K","0.17%"
"03/28/2023","3,999.51","4,015.70","4,023.78","3,994.60","131.90K","-0.32%"
"03/27/2023","4,012.48","4,023.30","4,023.30","3,987.03","168.48K","-0.36%"
"03/24/2023","4,027.05","4,035.16","4,037.84","4,017.00","159.44K","-0.30%"
"03/23/2023","4,039.09","3,985.99","4,039.09","3,984.00","158.89K","0.99%"
"03/22/2023","3,999.44","3,993.78","4,016.45","3,986.71","149.23K","0.43%"
"03/21/2023","3,982.38","3,948.16","3,982.70","3,948.16","145.09K","1.10%"
"03/20/2023","3,939.08","3,962.66","3,979.55","3,935.02","205.27K","-0.50%"
"03/17/2023","3,958.82","3,971.16","4,004.22","3,945.25","177.43K","0.50%"
"03/16/2023","3,939.15","3,958.20","3,981.32","3,936.48","152.52K","-1.20%"
"03/15/2023","3,986.90","4,011.84","4,018.75","3,986.90","142.03K","0.06%"
"03/14/2023","3,984.70","3,999.88","4,001.94","3,946.94","150.54K","-0.60%"
"03/13/2023","4,008.69","3,962.64","4,008.69","3,962.64","143.56K","1.05%"
"03/10/2023","3,967.14","3,991.80","4,004.36","3,966.43","123.86K","-1.31%"
"03/09/2023","4,019.85","4,035.84","4,043.85","4,000.89","116.54K","-0.35%"
"03/08/2023","4,034.11","4,030.74","4,037.29","4,011.52","117.94K","-0.36%"
"03/07/2023","4,048.85","4,103.64","4,124.96","4,046.57","195.91K","-1.46%"
"03/06/2023","4,109.01","4,131.15","4,132.84","4,088.45","162.97K","-0.52%"
"03/03/2023","4,130.55","4,126.02","4,135.21","4,100.38","160.33K","0.31%"
"03/02/2023","4,117.74","4,119.99","4,137.25","4,113.83","148.22K","-0.22%"
"03/01/2023","4,126.94","4,068.73","4,135.48","4,061.22","156.02K","1.41%"
"02/28/2023","4,069.46","4,058.13","4,074.26","4,026.45","110.32K","0.63%"
"02/27/2023","4,043.84","4,040.46","4,067.03","4,034.52","93.79K","-0.42%"
"02/24/2023","4,061.05","4,100.99","4,102.61","4,048.24","100.99K","-1.04%"
"02/23/2023","4,103.65","4,106.21","4,132.39","4,088.21","103.57K","-0.08%"
"02/22/2023","4,106.95","4,118.97","4,134.88","4,101.86","104.29K","-0.90%"
"02/21/2023","4,144.35","4,130.06","4,151.80","4,116.27","145.78K","0.26%"
"02/20/2023","4,133.49","4,039.96","4,134.86","4,035.48","161.79K","2.45%"
"02/17/2023","4,034.51","4,086.22","4,104.64","4,032.93","116.14K","-1.44%"
"02/16/2023","4,093.49","4,125.41","4,167.90","4,068.86","159.31K","-0.73%"
"02/15/2023","4,123.69","4,146.85","4,153.72","4,115.97","121.67K","-0.52%"
"02/14/2023","4,145.29","4,151.25","4,152.05","4,125.26","102.50K","0.04%"
"02/13/2023","4,143.57","4,098.88","4,146.45","4,092.27","128.89K","0.91%"
"02/10/2023","4,106.31","4,124.10","4,125.29","4,092.35","96.72K","-0.59%"
"02/09/2023","4,130.86","4,067.56","4,130.86","4,064.75","102.29K","1.34%"
"02/08/2023","4,076.14","4,099.86","4,111.47","4,072.65","84.79K","-0.44%"
"02/07/2023","4,094.23","4,098.31","4,107.34","4,077.96","91.36K","0.18%"
"02/06/2023","4,086.88","4,103.83","4,105.94","4,065.22","110.19K","-1.32%"
"02/03/2023","4,141.63","4,162.03","4,162.03","4,103.17","117.04K","-0.95%"
"02/02/2023","4,181.15","4,207.41","4,207.41","4,170.56","133.82K","-0.35%"
"02/01/2023","4,195.93","4,170.13","4,195.93","4,137.77","141.01K","0.94%"
"01/31/2023","4,156.86","4,200.58","4,212.73","4,153.05","124.55K","-1.06%"
"01/30/2023","4,201.35","4,267.63","4,268.15","4,197.86","164.61K","0.47%"
"01/20/2023","4,181.53","4,166.84","4,189.83","4,161.67","123.55K","0.61%"
"01/19/2023","4,156.01","4,125.58","4,156.01","4,105.98","94.61K","0.62%"
"01/18/2023","4,130.31","4,140.10","4,151.46","4,125.77","84.20K","-0.17%"
"01/17/2023","4,137.24","4,138.84","4,148.58","4,118.16","95.48K","-0.02%"
"01/16/2023","4,137.96","4,077.88","4,177.10","4,076.64","151.40K","1.56%"
