,age,health_status,health_care_cost,kid_num,income,con_base,own_bef,house_fund_balance,long_term_bond,equity_return,p_long_term_bond,p_equity_return,debt_commerical,debt_house_fund,house_price,single_child_spend,house_cost,loan_ratio,house_fund_withdraw,house_fund_loan_pay,house_commerical_loan_pay,long_term_bond_saving,equity_return_saving,p_long_term_bond_saving,p_equity_return_saving,wealth,non_consumption,house_size,reward
0,25,1.0,752.7370392861861,2,12184.962758301583,29981.399999999998,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38240.257,351.07828522848484,313.27941259991405,0.581876802444458,0.0,0.0,0.0,1435.9860128927937,1913.0962894826268,2559.748670884873,3755.341037549379,279.8181983046383,752.6177251488407,0.017500517475745925,-0.00198760929057326
1,26,1.0,752.7370392861861,2,4743.62146740698,30201.05201245792,1,2998.14,1435.9860128927937,1913.0962894826268,2559.748670884873,3755.341037549379,0.0,389.40608760087713,39003.139434640725,289.0527925373339,0.0,0.0,75.43194514683088,160.72667317451908,0.0,-805.1894117965693,-752.3696851385912,2001.852779057735,2298.121073160913,10112.808093136393,585.06935973495,0.017500517475745925,-0.0019876092923046514
2,27,1.0,752.7370392861861,2,4618.854095817277,31005.956240114025,1,6001.267417196024,556.0646385118904,1194.6161276964347,4428.386334906422,6119.986058557512,0.0,233.93904095816427,39920.77320203049,225.07547309537244,0.0,0.0,47.54175285828458,99.20426428302342,0.0,-75.63002239482876,-259.72450960975664,1486.8216404453422,1763.0880434445337,12859.853672201016,449.74844703031613,0.017500517475745925,-0.0019876092981284867
3,28,1.0,752.7370392861861,2,16347.56613940406,31639.701207897666,1,9173.395801635897,451.4957534433039,956.0536373642946,5684.744724972893,7991.486553455948,0.0,137.83367653866907,40859.99632918851,820.6860001814479,0.0,0.0,29.7549542844949,60.36675499496906,0.0,1277.0646629684666,2623.610040684907,4517.966151237488,3795.695900917053,15798.851749054316,1708.5085432365886,0.017500517475745925,-0.001987609289257746
4,29,1.0,752.7370392861861,2,6735.028706001481,31740.580515040558,1,12490.483785088198,1705.0635552525239,3596.5996837126745,9906.863890918146,11928.747588628463,0.0,0.0,41821.31672580882,466.4092487133245,0.0,0.0,0.0,0.0,0.0,-784.447967111694,-1480.3777483604717,2919.7132449659,3465.6623571621626,27869.169402730528,928.9232826327498,0.017500517475745925,-0.001987609289626371
5,30,1.0,752.7370392861861,2,102437.3322921698,32266.64018796317,1,15914.351512294019,831.880220598794,2179.9338760133246,12311.001510657952,15605.721663903123,0.0,0.0,42805.25427827793,9668.854471063316,0.0,0.0,0.0,0.0,0.0,13538.502086050668,43734.1854422058,5163.259506225586,3339.2361402511597,31677.651371723947,16571.70313602376,0.017500517475745925,-0.001987609289220804
6,31,1.0,752.7370392861861,2,53877.2190295671,83467.96127947347,1,19459.30256133622,14327.089376659616,45952.735742054865,16833.568627152057,19221.405254541147,0.0,0.0,43812.341104441744,10869.74222180949,0.0,0.0,0.0,0.0,0.0,-1711.978177837018,9299.854648848821,7184.97633934021,2940.1751160621643,97101.5376415593,13671.969620247757,0.017500517475745925,-0.0019876092892208035
7,32,1.0,752.7370392861861,2,46879.22709938699,50764.02920037255,1,28195.284740510288,11869.497032283683,56066.61981599438,23142.48794529038,22502.077823390868,0.0,0.0,44843.12184137733,9968.122536658344,0.0,0.0,0.0,0.0,0.0,-2205.0439344210827,6578.3795902335405,6182.616233825684,3003.1285285949707,114365.46045441134,12631.164568551005,0.017500517475745925,-0.001987609289220804
8,33,1.0,752.7370392861861,2,57002.065158869555,37503.38167950959,1,33835.59335535775,9046.737600716331,63638.1911620307,28120.716713712558,25903.819256704748,0.0,0.0,45898.15393993509,9935.191003496659,0.0,0.0,0.0,0.0,0.0,-897.0629896209275,15940.981462013944,6490.458011627197,2981.031060218811,127512.70617829464,11863.538568351032,0.017500517475745925,-0.001987609289220804
9,34,1.0,752.7370392861861,2,70368.66731343839,45601.652127095644,1,38262.64339041587,7678.861905268125,80706.49092901403,33147.70896451819,29343.723347150808,0.0,0.0,46978.007966210644,10896.582965429134,0.0,0.0,0.0,0.0,0.0,-581.7183004733042,26771.813398882194,7574.996709823608,2725.670099258423,151698.92459533957,11332.002435803013,0.017500517475745925,-0.0019876092892208035
